date,w,h,count
2020-04-01,水,,67
2020-04-02,木,,98
2020-04-03,金,,92
2020-04-04,土,,118
2020-04-05,日,,141
2020-04-06,月,,85
2020-04-07,火,,87
2020-04-08,水,,156
2020-04-09,木,,183
2020-04-10,金,,199
2020-04-11,土,,198
2020-04-12,日,,174
2020-04-13,月,,100
2020-04-14,火,,159
2020-04-15,水,,127
2020-04-16,木,,151
2020-04-17,金,,206
2020-04-18,土,,186
2020-04-19,日,,109
2020-04-20,月,,101
2020-04-21,火,,123
2020-04-22,水,,123
2020-04-23,木,,134
2020-04-24,金,,170
2020-04-25,土,,119
2020-04-26,日,,82
2020-04-27,月,,41
2020-04-28,火,,113
2020-04-29,水,祝,47
2020-04-30,木,,59
2020-05-01,金,,165
2020-05-02,土,,154
2020-05-03,日,祝,93
2020-05-04,月,祝,87
2020-05-05,火,祝,57
2020-05-06,水,祝,37
2020-05-07,木,,23
2020-05-08,金,,39
2020-05-09,土,,36
2020-05-10,日,,22
2020-05-11,月,,15
2020-05-12,火,,27
2020-05-13,水,,10
2020-05-14,木,,30
2020-05-15,金,,9
2020-05-16,土,,14
2020-05-17,日,,5
2020-05-18,月,,10
2020-05-19,火,,5
2020-05-20,水,,5
2020-05-21,木,,11
2020-05-22,金,,3
2020-05-23,土,,2
2020-05-24,日,,14
2020-05-25,月,,8
2020-05-26,火,,10
2020-05-27,水,,11
2020-05-28,木,,15
2020-05-29,金,,21
2020-05-30,土,,14
2020-05-31,日,,5
2020-06-01,月,,13
2020-06-02,火,,34
2020-06-03,水,,12
2020-06-04,木,,28
2020-06-05,金,,20
2020-06-06,土,,26
2020-06-07,日,,14
2020-06-08,月,,13
2020-06-09,火,,12
2020-06-10,水,,18
2020-06-11,木,,22
2020-06-12,金,,25
2020-06-13,土,,24
2020-06-14,日,,47
2020-06-15,月,,48
2020-06-16,火,,27
2020-06-17,水,,16
2020-06-18,木,,41
2020-06-19,金,,35
2020-06-20,土,,39
2020-06-21,日,,34
2020-06-22,月,,29
2020-06-23,火,,31
2020-06-24,水,,55
